gene_symbol	T_cell	B_cell	NK_cell	Macrophage	Neutrophil	Dendritic_cell
Cd3d	1	0	0	0	0	0
Cd3e	1	0	0	0	0	0
Cd3g	1	0	0	0	0	0
Cd2	1	0	0	0	0	0
Lck	1	0	0	0	0	0
Cd28	1	0	0	0	0	0
Cd19	0	1	0	0	0	0
Ms4a1	0	1	0	0	0	0
Cd79a	0	1	0	0	0	0
Cd79b	0	1	0	0	0	0
Pax5	0	1	0	0	0	0
Ighm	0	1	0	0	0	0
Ncr1	0	0	1	0	0	0
Klrb1c	0	0	1	0	0	0
Eomes	0	0	1	0	0	0
Gzmb	0	0	1	0	0	0
Prf1	0	0	1	0	0	0
Klrk1	0	0	1	0	0	0
Adgre1	0	0	0	1	0	0
Csf1r	0	0	0	1	0	0
Cd68	0	0	0	1	0	0
Mrc1	0	0	0	1	0	0
Lyz2	0	0	0	1	0	0
Fcgr1	0	0	0	1	0	0
Ly6g	0	0	0	0	1	0
S100a8	0	0	0	0	1	0
S100a9	0	0	0	0	1	0
Mpo	0	0	0	0	1	0
Elane	0	0	0	0	1	0
Retnlg	0	0	0	0	1	0
Flt3	0	0	0	0	0	1
Zbtb46	0	0	0	0	0	1
Batf3	0	0	0	0	0	1
Clec9a	0	0	0	0	0	1
Itgax	0	0	0	0	0	1
Cd83	0	0	0	0	0	1
