gene_id	gene_symbol	gene_name
gene_interaction_01	INT1	Interaction gene 1
gene_interaction_02	INT2	Interaction gene 2
gene_interaction_03	INT3	Interaction gene 3
gene_interaction_04	INT4	Interaction gene 4
gene_interaction_05	INT5	Interaction gene 5
gene_interaction_06	INT6	Interaction gene 6
gene_interaction_07	INT7	Interaction gene 7
gene_interaction_08	INT8	Interaction gene 8
gene_interaction_09	INT9	Interaction gene 9
gene_interaction_10	INT10	Interaction gene 10
gene_interaction_11	INT11	Interaction gene 11
gene_interaction_12	INT12	Interaction gene 12
gene_interaction_13	INT13	Interaction gene 13
gene_interaction_14	INT14	Interaction gene 14
gene_interaction_15	INT15	Interaction gene 15
gene_interaction_16	INT16	Interaction gene 16
gene_interaction_17	INT17	Interaction gene 17
gene_interaction_18	INT18	Interaction gene 18
gene_interaction_19	INT19	Interaction gene 19
gene_interaction_20	INT20	Interaction gene 20
gene_treatment_01	TRT1	Treatment-responsive gene 1
gene_treatment_02	TRT2	Treatment-responsive gene 2
gene_treatment_03	TRT3	Treatment-responsive gene 3
gene_treatment_04	TRT4	Treatment-responsive gene 4
gene_treatment_05	TRT5	Treatment-responsive gene 5
gene_treatment_06	TRT6	Treatment-responsive gene 6
gene_treatment_07	TRT7	Treatment-responsive gene 7
gene_treatment_08	TRT8	Treatment-responsive gene 8
gene_treatment_09	TRT9	Treatment-responsive gene 9
gene_treatment_10	TRT10	Treatment-responsive gene 10
gene_treatment_11	TRT11	Treatment-responsive gene 11
gene_treatment_12	TRT12	Treatment-responsive gene 12
gene_treatment_13	TRT13	Treatment-responsive gene 13
gene_treatment_14	TRT14	Treatment-responsive gene 14
gene_treatment_15	TRT15	Treatment-responsive gene 15
gene_genotype_01	GEN1	Genotype-specific gene 1
gene_genotype_02	GEN2	Genotype-specific gene 2
gene_genotype_03	GEN3	Genotype-specific gene 3
gene_genotype_04	GEN4	Genotype-specific gene 4
gene_genotype_05	GEN5	Genotype-specific gene 5
gene_genotype_06	GEN6	Genotype-specific gene 6
gene_genotype_07	GEN7	Genotype-specific gene 7
gene_genotype_08	GEN8	Genotype-specific gene 8
gene_genotype_09	GEN9	Genotype-specific gene 9
gene_genotype_10	GEN10	Genotype-specific gene 10
gene_null_01	NULL1	Null gene 1
gene_null_02	NULL2	Null gene 2
gene_null_03	NULL3	Null gene 3
gene_null_04	NULL4	Null gene 4
gene_null_05	NULL5	Null gene 5
gene_null_06	NULL6	Null gene 6
gene_null_07	NULL7	Null gene 7
gene_null_08	NULL8	Null gene 8
gene_null_09	NULL9	Null gene 9
gene_null_10	NULL10	Null gene 10
gene_null_11	NULL11	Null gene 11
gene_null_12	NULL12	Null gene 12
gene_null_13	NULL13	Null gene 13
gene_null_14	NULL14	Null gene 14
gene_null_15	NULL15	Null gene 15
gene_null_16	NULL16	Null gene 16
gene_null_17	NULL17	Null gene 17
gene_null_18	NULL18	Null gene 18
gene_null_19	NULL19	Null gene 19
gene_null_20	NULL20	Null gene 20
gene_null_21	NULL21	Null gene 21
gene_null_22	NULL22	Null gene 22
gene_null_23	NULL23	Null gene 23
gene_null_24	NULL24	Null gene 24
gene_null_25	NULL25	Null gene 25
gene_null_26	NULL26	Null gene 26
gene_null_27	NULL27	Null gene 27
gene_null_28	NULL28	Null gene 28
gene_null_29	NULL29	Null gene 29
gene_null_30	NULL30	Null gene 30
gene_null_31	NULL31	Null gene 31
gene_null_32	NULL32	Null gene 32
gene_null_33	NULL33	Null gene 33
gene_null_34	NULL34	Null gene 34
gene_null_35	NULL35	Null gene 35
gene_null_36	NULL36	Null gene 36
gene_null_37	NULL37	Null gene 37
gene_null_38	NULL38	Null gene 38
gene_null_39	NULL39	Null gene 39
gene_null_40	NULL40	Null gene 40
gene_null_41	NULL41	Null gene 41
gene_null_42	NULL42	Null gene 42
gene_null_43	NULL43	Null gene 43
gene_null_44	NULL44	Null gene 44
gene_null_45	NULL45	Null gene 45
gene_null_46	NULL46	Null gene 46
gene_null_47	NULL47	Null gene 47
gene_null_48	NULL48	Null gene 48
gene_null_49	NULL49	Null gene 49
gene_null_50	NULL50	Null gene 50
gene_null_51	NULL51	Null gene 51
gene_null_52	NULL52	Null gene 52
gene_null_53	NULL53	Null gene 53
gene_null_54	NULL54	Null gene 54
gene_null_55	NULL55	Null gene 55
