gene_id	gene_symbol	gene_name
g001	Acta2	actin alpha 2 smooth muscle
g002	Cnn1	calponin 1
g003	Myh11	myosin heavy chain 11
g004	Tagln	transgelin
g005	Tpm2	tropomyosin 2
g006	Mylk	myosin light chain kinase
g007	Cald1	caldesmon 1
g008	Des	desmin
g009	Epcam	epithelial cell adhesion molecule
g010	Krt5	keratin 5
g011	Krt18	keratin 18
g012	Cldn7	claudin 7
g013	Gata3	GATA binding protein 3
g014	Foxq1	forkhead box Q1
g015	Sfn	stratifin
g016	Spint2	serine peptidase inhibitor Kunitz type 2
g017	Ndufa1	NADH dehydrogenase subunit A1
g018	Ndufb2	NADH dehydrogenase subunit B2
g019	Ndufs3	NADH dehydrogenase iron-sulfur protein 3
g020	Cox4i1	cytochrome c oxidase subunit 4I1
g021	Cox5a	cytochrome c oxidase subunit 5A
g022	Sdhb	succinate dehydrogenase complex iron sulfur subunit B
g023	Atp5f1a	ATP synthase F1 subunit alpha
g024	Uqcrc1	ubiquinol-cytochrome c reductase core protein 1
g025	Lst1	leukocyte specific transcript 1
g026	Tyrobp	transmembrane immune signaling adaptor TYROBP
g027	Fcer1g	Fc receptor gamma chain
g028	Ctss	cathepsin S
g029	Aif1	allograft inflammatory factor 1
g030	C1qa	complement C1q A chain
g031	C1qb	complement C1q B chain
g032	Spi1	Spi-1 proto-oncogene
g033	Foxc2	forkhead box C2
g034	Gata2	GATA binding protein 2
g035	Itga9	integrin alpha 9
g036	Sox18	SRY-box transcription factor 18
g037	Gja4	gap junction protein alpha 4
g038	Efnb2	ephrin B2
g039	Nfatc1	nuclear factor of activated T cells 1
g040	Klf2	Kruppel-like factor 2

