gene_id	control_1	control_2	control_3	treatment_a_1	treatment_a_2	treatment_a_3	treatment_b_1	treatment_b_2	treatment_b_3
g001	82	91	87	524	548	503	96	103	89
g002	74	81	79	462	481	449	85	91	78
g003	61	68	64	395	417	381	73	77	69
g004	95	102	98	612	641	590	108	115	101
g005	108	116	111	568	591	552	119	128	113
g006	69	75	72	421	438	409	81	86	76
g007	88	94	91	447	469	432	98	105	92
g008	54	59	57	318	332	306	63	68	60
g009	72	78	75	489	507	472	83	89	79
g010	64	69	66	438	456	421	75	80	71
g011	121	129	124	673	701	652	133	142	128
g012	87	94	90	512	534	496	99	106	95
g013	51	56	53	346	361	334	62	66	59
g014	43	48	45	321	337	309	53	57	50
g015	78	84	81	555	578	536	89	96	85
g016	92	99	95	503	526	487	103	111	98
g017	508	532	519	118	126	112	487	512	498
g018	421	446	433	102	109	97	408	429	417
g019	389	411	400	95	102	90	375	397	384
g020	557	584	569	132	141	126	536	561	548
g021	472	496	484	116	123	110	455	479	466
g022	364	386	375	91	98	86	352	372	361
g023	611	638	624	147	156	141	589	617	603
g024	443	468	455	107	114	101	428	451	439
g025	118	126	121	112	120	115	497	521	506
g026	104	111	107	99	106	102	451	472	459
g027	91	97	94	87	93	89	398	417	406
g028	133	142	137	126	135	130	564	589	573
g029	77	83	80	73	79	75	346	363	353
g030	66	71	68	63	68	65	318	334	325
g031	59	64	61	56	61	58	291	307	298
g032	85	91	88	81	87	83	379	397	386
g033	49	54	51	57	62	59	371	389	378
g034	58	63	60	66	72	68	418	438	426
g035	71	77	74	80	86	82	486	509	495
g036	63	69	66	72	78	74	442	463	451
g037	46	51	48	54	59	56	352	369	359
g038	81	87	84	91	98	94	517	541	526
g039	55	60	57	64	70	66	398	417	406
g040	97	104	100	108	116	111	588	616	601

