gene_id	gene_symbol	gene_name
g001	Gata2	GATA binding protein 2
g002	Sox18	SRY-box transcription factor 18
g003	Foxc2	forkhead box C2
g004	Prox1	prospero homeobox 1
g005	Lyve1	lymphatic vessel endothelial hyaluronan receptor 1
g006	Flt4	FMS-like tyrosine kinase 4
g007	Nfatc1	nuclear factor of activated T cells 1
g008	Efnb2	ephrin B2
g009	Acta2	actin alpha 2 smooth muscle
g010	Pdgfrb	platelet derived growth factor receptor beta
g011	Cdh5	cadherin 5
g012	Pecam1	platelet endothelial cell adhesion molecule 1
g013	Vegfa	vascular endothelial growth factor A
g014	Angpt2	angiopoietin 2
g015	Kdr	kinase insert domain protein receptor
g016	Col1a1	collagen type I alpha 1 chain
g017	Col3a1	collagen type III alpha 1 chain
g018	Fn1	fibronectin 1
g019	Ctgf	connective tissue growth factor
g020	Tgfb1	transforming growth factor beta 1
