gene_id	control_1	control_2	control_3	treated_1	treated_2	treated_3
g001	85	92	88	412	438	405
g002	78	84	81	389	410	382
g003	92	99	95	451	475	440
g004	68	73	70	342	361	334
g005	104	111	107	518	544	504
g006	88	95	91	434	456	422
g007	96	103	99	128	136	126
g008	71	77	74	354	373	346
g009	412	438	425	108	116	107
g010	389	411	399	95	102	94
g011	125	133	129	118	126	122
g012	142	151	146	135	144	139
g013	98	105	101	102	109	105
g014	87	94	90	91	97	93
g015	113	120	116	119	127	123
g016	164	175	169	621	653	604
g017	147	157	152	558	587	543
g018	139	148	143	521	548	507
g019	156	166	161	593	624	577
g020	122	130	126	467	491	454
